,carat,cut,color,clarity,depth,table,price,volume
1135,0.38,Ideal,E,IF,61.9,56.0,1433,62.40672000000001
1136,0.7,Ideal,F,VS1,62.4,56.0,2874,113.80569000000003
1137,1.51,Ideal,E,VS1,62.2,57.0,17649,246.54418800000002
1138,0.32,Ideal,F,VVS1,61.7,56.0,926,52.89856
1139,0.41,Premium,G,VVS2,61.4,58.0,1076,66.804
1140,1.02,Premium,H,SI1,61.1,58.0,5084,166.536216
1141,0.71,Premium,D,SI1,61.4,58.0,2863,117.85544999999999
1142,1.25,Premium,H,SI2,61.6,54.0,5740,202.331875
1143,0.4,Very Good,G,SI1,60.0,63.0,702,65.57376
1144,0.8,Ideal,G,SI2,62.0,56.0,2517,130.631904
1145,0.61,Ideal,F,SI2,62.3,57.0,1303,98.63046400000002
1146,1.23,Ideal,I,SI2,61.2,58.0,5315,199.27614
1147,0.3,Premium,G,SI1,61.6,59.0,574,47.952264
1148,0.32,Ideal,G,VS1,61.7,55.0,828,52.897743999999996
1149,0.32,Ideal,G,VS2,62.5,56.0,561,53.2389
1150,1.01,Good,D,VS2,64.0,58.0,6176,157.64111999999997
1151,1.29,Premium,G,VS2,58.7,58.0,8842,218.13053399999998
1152,0.37,Ideal,E,SI1,61.9,56.0,649,59.702479999999994
1153,1.01,Premium,H,SI2,60.3,60.0,4412,163.25595
1154,0.9,Very Good,F,VS1,61.2,56.0,5324,146.30532
1155,0.4,Ideal,D,VVS2,61.4,56.0,1152,66.804
1156,1.52,Ideal,D,SI1,60.6,58.0,14426,248.97003999999998
1157,0.34,Premium,H,VVS2,62.7,59.0,880,55.247859
1158,1.08,Ideal,H,SI1,59.7,60.0,5154,179.55960000000002
1159,0.41,Very Good,G,VS2,59.9,59.0,827,67.93308
1160,1.04,Ideal,F,SI2,62.0,54.0,4695,170.267097
1161,0.31,Ideal,H,VS2,61.2,59.0,515,51.41312000000001
1162,0.3,Good,J,SI1,63.8,56.0,351,48.833658
1163,1.23,Ideal,H,I1,61.6,55.0,3168,202.0467
1164,0.54,Very Good,G,VS1,63.6,56.0,1698,89.67054800000001
1165,0.45,Very Good,G,VS1,60.0,57.1,1154,75.29910000000001
1166,1.01,Very Good,G,SI1,62.7,58.0,5231,162.56
1167,0.3,Very Good,D,SI1,63.1,56.0,662,48.815968000000005
1168,0.32,Ideal,G,VS1,61.4,54.0,614,54.624640000000014
1169,0.3,Ideal,F,VS2,61.1,56.0,573,50.988456000000006
1170,0.93,Good,D,SI2,59.2,62.0,3744,152.974536
1171,0.5,Very Good,G,SI1,63.3,59.0,1187,79.40786599999998
1172,0.35,Good,F,SI2,63.8,56.0,591,56.81760000000001
1173,0.75,Very Good,E,SI1,61.1,59.0,3005,123.90885
1174,1.25,Ideal,H,VVS2,60.6,57.0,8036,206.38170000000002
1175,0.82,Very Good,J,SI2,62.0,58.0,2175,130.852566
1176,0.27,Ideal,E,VS2,62.7,55.0,470,45.27567
1177,0.92,Fair,F,SI1,64.9,58.0,3117,145.16536
1178,0.7,Ideal,H,VVS2,62.5,56.0,2644,113.60214
1179,0.3,Premium,E,VVS2,60.8,60.0,1013,48.03365699999999
1180,0.3,Ideal,E,VS2,61.8,55.0,795,50.901256
1181,0.38,Ideal,E,VVS2,62.5,53.0,1013,62.43467999999999
1182,1.11,Ideal,H,SI2,61.2,56.0,5496,183.77429999999998
1183,1.2,Very Good,I,SI1,63.8,57.0,5352,190.08460799999997
1184,0.72,Very Good,I,VVS2,61.7,55.0,2532,119.47219199999998
1185,0.71,Premium,F,SI1,62.3,60.0,2458,113.28475999999999
1186,0.72,Premium,H,IF,58.7,59.0,3048,121.197384
1187,0.38,Ideal,E,VVS2,61.6,55.0,1176,61.706788
1188,0.37,Ideal,H,VVS1,62.0,53.0,815,62.138304
1189,0.93,Premium,F,SI2,61.3,62.0,3317,147.158202
1190,0.41,Ideal,F,VVS2,61.7,57.0,1115,66.74976
1191,0.51,Ideal,G,VVS2,62.4,56.0,1916,83.45996999999998
1192,1.14,Ideal,G,VVS1,61.0,56.0,9037,189.56699999999998
1193,0.3,Ideal,D,VVS1,61.8,55.0,933,50.47914
1194,0.42,Very Good,G,SI2,59.5,61.0,573,68.9185
1195,1.51,Premium,H,SI1,62.0,58.0,9511,247.01155199999997
1196,0.7,Very Good,F,VS1,59.9,60.0,2810,117.26486399999999
1197,0.72,Premium,H,SI1,59.9,58.0,2334,118.61986499999999
1198,1.0,Good,F,SI1,60.1,65.0,4679,159.09376000000003
1199,0.44,Ideal,G,SI1,61.1,56.0,813,73.157448
1200,0.7,Premium,G,VS2,60.8,58.0,2317,117.0585
1201,1.05,Very Good,E,SI1,59.7,57.0,6224,177.059454
1202,0.9,Very Good,G,VS1,62.4,55.0,4358,144.386021
1203,0.34,Ideal,I,VS1,62.0,54.0,501,56.497221
1204,0.31,Ideal,D,VS2,62.0,55.0,734,50.667494999999995
1205,0.7,Ideal,H,VS2,62.6,54.0,2475,116.92638000000001
1206,0.33,Ideal,F,VS2,61.1,56.0,804,55.1151
1207,0.32,Very Good,F,VS2,59.7,62.0,602,51.03094199999999
1208,0.73,Very Good,D,SI2,60.3,60.0,2374,121.007694
1209,0.81,Very Good,E,SI1,60.3,60.0,2797,135.88909
1210,0.31,Ideal,E,IF,61.0,57.0,1319,51.104867999999996
1211,0.71,Very Good,E,SI1,59.3,59.0,2590,118.750687
1212,0.64,Ideal,E,VVS2,62.1,53.0,3157,104.702122
1213,1.0,Very Good,G,VS2,60.6,60.0,5623,162.656
1214,0.7,Ideal,D,VS1,62.0,57.0,3335,116.34912
1215,0.52,Ideal,G,SI1,61.1,55.0,1197,87.86304
1216,0.31,Ideal,F,VS2,61.6,55.0,757,51.370392
1217,0.55,Very Good,E,SI1,61.0,61.0,1551,89.5965
1218,0.7,Fair,G,I1,66.7,55.0,956,114.874956
1219,1.02,Very Good,H,VS2,63.3,55.0,4604,163.26336
1220,0.3,Premium,I,VS1,59.1,59.0,608,49.15673999999999
1221,1.12,Very Good,F,SI1,61.4,63.0,5374,183.94716000000003
1222,1.74,Ideal,D,SI2,64.5,56.0,12361,277.60168799999997
1223,0.32,Ideal,G,VS1,62.4,56.0,679,52.253837999999995
1224,2.01,Very Good,I,VS2,62.5,58.0,15819,321.434085
1225,0.27,Ideal,F,VVS2,61.4,57.0,620,45.010979999999996
1226,0.9,Very Good,E,SI2,62.2,54.0,3715,146.178432
1227,0.62,Ideal,E,VS1,61.3,56.0,2731,103.66891199999999
1228,0.28,Very Good,H,SI1,61.5,56.0,360,46.41104
1229,0.56,Ideal,G,VS2,61.2,56.0,1698,91.636025
1230,0.41,Ideal,F,VS2,61.1,56.0,863,68.16096
1231,1.08,Ideal,H,VVS1,62.5,54.0,6961,176.97567999999998
1232,0.4,Premium,F,VS1,62.6,58.0,982,64.943424
1233,0.9,Ideal,I,SI1,62.0,56.0,3537,147.366912
1234,0.5,Very Good,I,SI1,62.4,58.0,1048,79.442
1235,1.24,Premium,F,VS1,60.1,59.0,9738,206.583858
1236,0.38,Very Good,F,VS1,62.7,57.0,883,64.03339199999999
1237,0.55,Ideal,E,SI2,62.0,56.0,1273,89.40554999999999
1238,1.01,Premium,G,VS2,61.9,59.0,5864,159.369848
1239,0.33,Ideal,F,VS1,61.2,57.0,738,54.86959600000001
1240,0.3,Premium,E,VS2,62.9,58.0,844,48.11179799999999
1241,1.5,Very Good,F,IF,63.2,58.0,18552,241.91136
1242,0.57,Very Good,E,VVS2,60.0,61.0,2485,94.47321600000002
1243,0.5,Premium,E,SI1,61.5,62.0,1415,80.356848
1244,1.52,Good,G,VS2,63.3,57.0,11235,245.859768
1245,0.36,Premium,G,VS1,62.3,59.0,932,57.73949999999999
1246,0.41,Premium,D,VVS1,62.2,58.0,1413,66.276765
1247,0.3,Ideal,H,SI1,62.2,57.0,450,48.612564
1248,1.02,Very Good,F,SI2,60.3,59.0,4241,166.80885
1249,1.28,Very Good,J,SI1,63.4,59.0,4967,205.00505999999996
1250,0.57,Premium,F,SI1,61.8,57.0,1571,93.28926599999998
1251,0.38,Ideal,D,VS1,61.3,56.0,919,63.61804799999999
1252,1.53,Premium,I,SI2,62.7,62.0,7389,245.906037
1253,1.52,Ideal,I,SI2,60.2,57.0,7661,246.42484199999998
1254,0.35,Ideal,F,VVS1,61.8,55.0,945,58.172901
1255,0.5,Ideal,G,VS2,62.6,57.0,1424,82.06149
1256,0.79,Premium,G,VS2,62.3,58.0,2959,128.317184
1257,0.51,Ideal,G,VVS2,62.0,57.0,1877,83.68647000000001
1258,0.52,Ideal,E,VS2,61.4,54.0,1694,87.02720000000001
1259,0.72,Ideal,F,SI1,61.7,54.0,2737,119.47361999999997
1260,0.9,Premium,G,SI1,62.2,60.0,3734,143.16456
1261,0.3,Ideal,F,SI1,62.2,54.2,499,50.317525999999994
1262,0.3,Very Good,G,SI1,59.7,60.0,447,49.841864999999984
1263,1.06,Ideal,H,SI2,62.5,57.1,4829,170.0595
1264,1.01,Very Good,F,SI2,63.4,54.0,4270,166.55662799999996
1265,1.04,Very Good,G,VVS2,62.8,54.0,7481,168.21675
1266,1.4,Premium,G,SI2,62.0,60.0,7225,224.69512
1267,0.72,Ideal,I,VS2,61.7,56.0,2650,117.57387000000001
1268,1.78,Very Good,F,SI1,60.6,57.0,13659,300.70367999999996
1269,0.42,Ideal,H,IF,61.9,56.0,1216,68.428503
1270,0.74,Premium,I,VS1,62.9,57.0,2193,121.061952
1271,0.42,Premium,F,SI1,60.6,61.0,926,69.15497400000001
1272,1.02,Very Good,F,VS1,61.9,59.0,7257,163.11618400000003
1273,1.01,Good,E,VS2,63.7,56.0,6335,157.7532
1274,0.91,Ideal,G,SI1,61.9,56.0,4731,147.60806399999998
1275,0.71,Good,F,SI2,64.0,58.0,1818,113.70060000000001
1276,0.32,Ideal,I,SI2,61.9,56.0,391,52.538976000000005
1277,0.31,Ideal,G,VS1,61.5,54.0,658,52.70326699999999
1278,0.9,Very Good,G,SI2,63.1,59.0,3353,145.65751200000003
1279,1.36,Ideal,G,SI1,60.9,56.0,8977,223.20584000000002
1280,0.76,Very Good,G,VS2,61.1,57.0,3170,125.0928
1281,1.09,Very Good,G,VS2,60.9,56.0,6388,181.88423
1282,1.51,Premium,H,SI1,60.6,59.0,10519,248.42025
1283,2.02,Good,H,SI2,59.0,61.0,13144,335.652534
1284,0.9,Good,J,VS2,62.3,64.0,3423,143.537646
1285,0.35,Ideal,F,VS1,62.4,57.0,1011,57.028388
1286,0.5,Very Good,G,SI1,62.9,59.0,1187,81.25790400000001
1287,1.02,Premium,E,SI2,58.7,58.0,4990,172.20372
1288,0.51,Premium,E,VS2,61.4,56.0,1733,84.56609
1289,0.7,Premium,H,VS1,62.3,60.0,2333,111.254715
1290,0.4,Ideal,H,VVS1,62.3,54.0,1088,66.925008
1291,1.52,Ideal,J,VS1,61.3,55.0,7740,248.945452
1292,1.24,Ideal,G,VVS2,61.2,56.0,9362,200.912512
1293,1.01,Ideal,G,VS2,61.5,57.0,6516,166.60479
1294,1.09,Ideal,H,VS2,61.4,57.0,6419,178.90295500000005
1295,0.31,Premium,G,VS1,62.2,58.0,625,51.514932
1296,1.01,Premium,F,VS2,62.5,58.0,6271,165.01952
1297,2.01,Premium,I,SI2,58.2,61.0,13052,322.97504
1298,1.01,Good,E,SI1,63.6,60.0,5132,162.89926400000002
1299,1.5,Premium,I,VVS1,62.4,60.0,10956,243.33436799999998
1300,0.43,Premium,E,SI2,61.0,60.0,704,71.93282200000002
1301,1.56,Ideal,G,SI1,61.2,56.0,11628,258.18704099999997
1302,1.5,Premium,H,SI1,62.7,58.0,9768,244.397044
1303,0.8,Premium,J,SI2,60.2,59.0,2022,130.74173000000002
1304,0.96,Fair,G,SI2,72.2,56.0,2438,149.449468
1305,0.55,Very Good,E,SI1,63.0,59.0,1406,89.02739999999999
1306,0.34,Very Good,G,VS2,59.6,62.0,556,56.103503999999994
1307,1.01,Premium,F,VS2,61.2,57.5,7277,163.40559
1308,0.3,Ideal,H,SI1,61.3,58.0,450,49.454299999999996
1309,0.54,Ideal,G,VVS2,61.5,57.0,2060,88.242812
1310,1.13,Ideal,H,VS2,62.0,57.0,6045,182.19010800000004
1311,0.31,Premium,I,VVS2,62.1,58.0,544,49.898920000000004
1312,1.13,Ideal,H,SI2,62.0,57.0,4556,185.72744
1313,0.32,Very Good,E,VS2,62.8,54.0,702,52.20522
1314,1.12,Premium,H,VS2,60.6,59.0,6052,185.06472000000002
1315,1.0,Very Good,H,SI1,62.8,56.0,4830,160.885179
1316,0.63,Very Good,G,SI2,63.3,59.0,1105,100.94044499999998
1317,0.32,Very Good,E,VS2,61.6,58.0,594,53.693639999999995
1318,0.9,Very Good,H,SI2,62.1,56.0,3295,146.649216
1319,0.42,Premium,G,VS1,62.4,59.0,984,68.60256
1320,0.4,Premium,F,SI1,62.9,58.0,882,65.524928
1321,1.0,Good,G,SI1,59.9,58.0,6437,161.49974400000005
1322,0.34,Ideal,H,VS2,61.5,54.0,537,56.795399999999994
1323,0.71,Good,F,VVS2,58.2,60.0,2956,120.35390400000001
1324,0.31,Ideal,G,VVS1,61.3,60.0,710,50.637617999999996
1325,1.0,Good,E,SI1,63.9,57.0,4573,161.62181599999997
1326,0.81,Very Good,I,VS1,63.2,59.0,2655,127.83176000000002
1327,0.33,Ideal,F,VS2,62.0,54.2,660,54.08975
1328,0.32,Ideal,G,IF,61.7,54.0,918,54.014168000000005
1329,0.32,Ideal,I,VS1,61.3,56.0,523,53.620720000000006
1330,0.54,Premium,E,VS2,61.3,59.0,1993,87.96876599999999
1331,0.56,Ideal,E,SI1,62.7,57.0,1698,90.679309
1332,0.54,Very Good,E,SI1,62.1,59.0,1379,86.56648000000001
1333,0.43,Fair,H,SI1,62.7,66.0,984,67.23356799999999
1334,0.77,Premium,E,SI2,60.8,58.0,2519,129.37610400000003
1335,0.47,Ideal,G,SI1,60.8,56.0,1163,76.7075
1336,1.06,Premium,I,VS1,61.2,57.1,5550,174.218512
1337,1.51,Very Good,I,SI1,61.6,58.0,9283,241.98404999999997
1338,1.51,Ideal,J,VS2,62.0,56.0,8217,243.26228
1339,0.35,Ideal,H,VVS1,61.7,56.0,1024,57.712199999999996
1340,0.9,Very Good,E,SI1,61.8,59.0,4165,142.64650400000002
1341,1.18,Ideal,H,SI2,61.2,57.0,5182,195.275388
1342,0.31,Ideal,E,VS2,61.8,54.0,872,52.106796
1343,0.71,Ideal,F,VS1,60.9,57.0,3710,116.857728
1344,0.43,Ideal,G,VVS2,60.9,57.0,1056,70.58205000000001
1345,0.33,Good,D,VS2,63.5,56.0,625,53.33152000000001
1346,0.5,Good,E,SI2,58.3,58.0,1101,82.67584000000001
1347,0.5,Good,G,SI2,63.8,57.0,1107,79.748724
1348,1.5,Ideal,G,VS1,62.3,57.0,14067,240.9378
1349,0.3,Very Good,F,VS2,63.2,59.0,642,48.70191199999999
1350,1.07,Ideal,G,SI2,62.1,55.0,4752,176.375952
1351,1.51,Very Good,H,SI2,60.8,58.0,7723,251.75022
1352,1.02,Good,F,SI1,63.5,57.0,4594,164.59199999999998
1353,0.36,Ideal,E,VS1,61.8,54.0,835,59.36207999999999
1354,0.4,Very Good,G,IF,61.4,54.0,1229,66.805172
1355,0.5,Very Good,G,VS1,61.3,58.0,1592,79.36837000000001
1356,0.52,Ideal,D,SI1,61.5,55.0,1720,86.69376
1357,2.01,Ideal,H,SI2,62.8,57.0,14364,320.86835999999994
1358,0.51,Ideal,G,VVS1,60.4,57.0,1933,85.50359999999999
1359,0.9,Premium,D,SI1,62.8,59.0,4612,146.847924
1360,0.34,Ideal,G,VS2,61.1,55.0,596,56.967819999999996
1361,0.9,Good,J,VS2,64.1,56.0,2691,145.48953600000002
1362,0.82,Ideal,F,SI1,61.3,55.0,3439,137.062656
1363,2.02,Premium,F,SI2,61.0,59.0,11962,331.99668
1364,0.77,Very Good,I,VS2,63.2,58.0,2513,124.64712
1365,0.39,Premium,E,SI2,63.0,61.0,834,62.73036
1366,0.71,Very Good,D,SI1,61.5,58.0,2843,117.44551800000002
1367,0.8,Very Good,G,SI2,63.1,59.0,2451,124.09371
1368,1.2,Ideal,H,VS1,62.3,54.0,7768,197.67090000000002
1369,1.01,Very Good,D,SI2,62.9,60.0,4760,165.31463000000002
1370,1.51,Premium,G,SI1,60.3,59.0,9710,245.767752
1371,1.05,Good,E,SI2,63.2,59.0,4204,165.21499200000002
1372,0.3,Ideal,E,VVS2,60.8,57.0,742,49.72572
1373,1.06,Premium,G,SI2,61.1,62.0,4238,174.04791
1374,0.3,Ideal,I,VS2,61.4,58.0,438,48.813336
1375,0.5,Ideal,F,VS2,61.2,57.0,1436,81.89018999999999
1376,0.5,Good,E,VS1,61.0,61.0,1714,80.730624
1377,1.54,Ideal,G,VVS1,60.8,57.0,16316,253.33427
1378,1.51,Premium,G,VVS2,60.9,58.0,15303,246.96579599999998
1379,1.12,Premium,H,SI1,62.0,56.0,5291,181.917776
1380,1.08,Premium,F,SI1,62.1,58.0,4864,177.619293
1381,0.51,Good,H,SI2,56.7,60.0,1060,87.50031999999999
1382,0.73,Very Good,G,VS1,62.0,57.0,2825,119.393
1383,1.07,Premium,D,SI2,62.6,61.0,4949,168.329832
1384,0.3,Premium,J,SI2,59.3,61.0,405,50.64287399999999
1385,0.9,Premium,D,VS2,62.6,59.0,4914,145.85263
1386,0.35,Premium,F,SI1,60.2,58.0,583,57.43099999999999
1387,0.82,Ideal,G,SI2,61.6,56.0,2692,133.64104
1388,1.0,Ideal,E,SI2,62.9,56.0,3450,158.06952
1389,2.04,Very Good,I,SI1,63.1,58.0,15412,325.86096399999997
1390,0.3,Very Good,F,VVS2,64.1,55.0,613,48.3735
1391,0.31,Ideal,D,VS2,61.5,56.0,734,50.945460000000004
1392,2.19,Ideal,I,SI2,61.5,57.0,15509,361.20246
1393,0.52,Very Good,E,SI1,58.8,59.0,1276,87.802416
1394,2.01,Good,J,SI1,63.6,59.0,12257,323.898768
1395,0.72,Premium,D,VS2,60.6,57.0,3205,118.616256
1396,0.9,Good,D,SI2,62.2,63.0,4382,147.27097
1397,0.36,Ideal,G,VVS2,62.3,56.0,776,59.053540000000005
1398,0.54,Ideal,H,SI1,62.2,56.0,1154,88.72305
1399,0.51,Ideal,G,VS1,61.9,56.0,1691,84.013056
1400,0.32,Ideal,G,SI1,62.3,57.0,508,52.925292000000006
1401,0.45,Ideal,G,SI2,61.9,54.0,709,74.128725
1402,1.69,Ideal,I,VS2,61.7,56.0,11086,279.57231
1403,0.38,Very Good,D,SI2,61.1,58.0,633,61.405344
1404,0.31,Ideal,E,VS2,61.8,55.0,872,52.10788
1405,1.43,Fair,I,VS1,50.8,60.0,6727,220.24702500000004
1406,1.51,Ideal,I,SI1,61.2,60.0,8396,246.17863599999998
1407,0.3,Good,G,VVS2,63.2,57.0,684,48.70191199999999
1408,1.07,Good,I,VS2,63.8,60.0,4194,166.85486400000002
1409,1.11,Ideal,F,VVS1,59.7,58.0,12956,181.08357999999998
1410,1.51,Good,E,SI2,63.2,56.0,9833,244.99015200000002
1411,1.01,Good,F,SI1,63.3,58.0,4479,162.34367999999998
1412,0.5,Fair,H,VS2,65.1,59.0,1175,83.31593599999998
1413,0.36,Very Good,E,VS1,60.6,58.0,894,59.764039999999994
1414,1.04,Ideal,G,SI2,61.7,56.0,4455,173.059056
1415,1.63,Very Good,I,SI1,62.0,54.0,9090,275.72116
1416,1.11,Premium,I,SI2,61.3,59.0,3692,181.410723
1417,0.92,Very Good,E,SI2,63.2,54.0,3679,155.6775
1418,0.7,Fair,F,SI2,64.6,57.0,1947,112.60311999999999
1419,1.06,Ideal,E,IF,62.0,57.0,13344,171.47618400000002
1420,1.06,Ideal,G,VS2,62.3,56.0,7255,172.325076
1421,0.41,Very Good,E,SI1,62.9,57.0,755,66.95225599999999
1422,0.58,Ideal,G,VS2,61.2,56.0,1760,95.87061
1423,1.0,Good,G,SI2,61.4,61.0,3646,156.11348
1424,0.7,Very Good,E,VS1,63.4,56.0,3107,112.23967999999999
1425,0.54,Ideal,H,VVS1,61.1,57.0,1944,87.86304
1426,1.03,Premium,J,SI1,61.1,61.0,3749,165.09262000000004
1427,0.32,Very Good,G,VS2,62.4,59.0,561,51.161548
1428,0.3,Ideal,F,IF,60.8,57.0,873,50.374379999999995
1429,1.01,Fair,I,SI2,66.1,58.0,3054,151.90902
1430,0.63,Very Good,G,VS1,63.1,58.0,2157,101.504676
1431,0.4,Premium,E,VS1,60.3,58.0,1053,67.0944
1432,0.38,Very Good,I,IF,59.5,57.0,988,63.35750399999999
1433,0.31,Premium,G,VS1,61.2,59.0,802,50.755365
1434,0.72,Ideal,F,VS1,61.7,57.0,2829,117.57528999999998
1435,0.76,Ideal,E,VS2,61.5,56.0,3192,126.57374399999999
1436,0.58,Ideal,J,VS1,61.9,58.0,1324,93.74804999999998
1437,0.7,Ideal,E,VS2,61.9,56.0,3142,114.89020399999998
1438,0.34,Ideal,H,VVS1,62.9,57.0,995,55.57104
1439,0.85,Fair,H,I1,66.7,59.0,1324,131.41870400000002
1440,0.37,Premium,D,VVS1,61.4,58.0,1142,61.35907500000001
1441,1.12,Ideal,H,SI2,62.4,54.0,5178,184.79551999999998
1442,1.04,Ideal,E,SI1,62.0,57.0,4613,169.06109999999998
1443,0.42,Very Good,E,SI1,63.4,56.0,992,69.225804
1444,0.5,Good,D,SI1,63.8,60.0,1333,80.48000000000002
1445,0.31,Ideal,G,VS1,62.1,55.0,802,51.089670000000005
1446,0.35,Premium,H,VVS2,61.9,58.0,706,57.20399999999999
1447,2.1,Ideal,I,SI1,61.6,57.0,12168,339.1378
1448,1.27,Premium,G,VS2,61.0,60.0,8549,204.800904
1449,0.92,Premium,F,SI2,62.1,59.0,3787,150.444702
1450,0.7,Fair,H,SI1,66.0,56.0,1840,110.71060000000001
1451,0.38,Premium,H,VS1,61.6,58.0,766,62.942400000000006
1452,0.33,Premium,H,VS1,62.9,59.0,743,52.635000000000005
1453,2.04,Premium,H,VS1,60.7,61.0,18104,327.31452
1454,0.71,Fair,F,IF,58.7,62.0,3205,116.979121
1455,0.38,Ideal,E,SI2,61.2,57.0,812,63.127659
1456,0.75,Ideal,E,SI2,61.7,55.0,2609,125.50362000000001
1457,0.5,Premium,F,VVS2,63.0,57.0,2160,80.202585
1458,1.3,Very Good,I,VS2,61.8,56.0,7087,212.772736
1459,0.35,Ideal,G,VS1,60.5,57.0,706,57.51563999999999
1460,1.59,Ideal,J,VS1,62.1,55.0,8925,260.863605
1461,1.0,Premium,I,SI1,62.2,62.0,3360,160.17685199999997
1462,1.01,Premium,G,VS1,62.7,56.0,6441,165.164112
1463,1.21,Ideal,G,VVS1,61.0,57.0,10482,200.43431099999998
1464,1.09,Premium,E,SI1,62.5,59.0,5628,176.16634
1465,0.4,Very Good,E,VS1,62.9,56.0,959,64.887315
1466,0.7,Premium,G,SI1,59.9,58.0,2016,113.32735999999998
1467,0.46,Ideal,I,VS2,62.2,54.7,893,76.01863499999999
1468,0.87,Ideal,G,VS2,61.8,56.0,4899,141.577254
1469,1.61,Ideal,F,SI1,60.9,57.0,10197,261.85868
1470,0.6,Premium,E,VS2,62.7,58.0,1915,96.35068799999999
1471,1.6,Ideal,G,VS1,62.0,54.0,17050,259.78499999999997
1472,0.7,Very Good,H,SI2,59.9,57.0,2034,114.26331
1473,0.9,Premium,H,SI1,62.6,58.0,3387,142.140672
1474,0.35,Ideal,F,SI1,61.1,56.0,707,58.268592
1475,0.42,Good,D,SI2,63.2,57.0,653,68.199075
1476,0.33,Premium,E,SI2,59.7,58.0,594,54.591936000000004
1477,1.21,Premium,G,SI2,60.9,59.0,4472,195.378678
1478,0.54,Ideal,E,VS2,61.6,59.0,1695,87.90728800000001
1479,0.73,Ideal,G,VS1,60.9,59.0,3459,119.495178
1480,0.41,Very Good,D,SI1,63.4,56.0,907,67.769548
1481,1.01,Very Good,G,SI1,62.8,56.0,5049,163.73030499999996
1482,0.71,Ideal,H,VVS1,62.1,57.0,2742,114.08607
1483,1.2,Very Good,F,VVS2,62.9,59.0,10891,192.61132800000001
1484,0.34,Good,F,SI2,63.5,56.0,447,56.292096000000015
1485,2.14,Premium,F,SI2,58.2,61.0,17742,354.0972499999999
1486,1.01,Good,G,VS2,63.7,56.0,5701,163.81440000000003
1487,0.72,Ideal,F,SI1,62.3,56.0,3004,120.26987999999999
1488,0.9,Fair,H,SI2,66.0,63.0,2376,131.63796599999998
1489,1.55,Ideal,H,VS1,60.6,57.0,12087,254.692638
1490,0.59,Very Good,F,SI2,63.4,57.0,1301,94.38105600000002
1491,1.55,Good,H,VS2,61.0,61.0,11364,251.640396
1492,0.38,Ideal,F,VVS2,61.3,55.0,963,64.24816799999999
1493,0.51,Premium,D,SI2,59.5,61.0,1406,82.48363200000001
1494,0.32,Ideal,F,VS2,61.3,56.0,645,52.943373
1495,0.32,Very Good,G,VS2,60.1,61.0,524,52.083864000000005
1496,0.71,Very Good,G,SI1,63.2,58.0,2137,112.83206399999999
1497,1.23,Premium,H,SI2,61.2,57.0,5373,198.987334
1498,1.02,Premium,G,VS2,62.0,57.0,5581,166.6656
1499,0.72,Ideal,F,SI2,61.7,55.0,2340,119.67960899999999
1500,0.31,Ideal,G,SI1,63.0,56.0,593,50.76064
1501,0.35,Ideal,E,VS2,62.0,56.0,704,56.497221
1502,0.7,Ideal,F,SI2,62.0,55.0,2259,115.41709800000001
1503,0.9,Very Good,H,SI2,61.7,60.0,3301,147.458064
1504,0.75,Premium,D,SI1,62.8,60.0,2903,120.101464
1505,0.38,Very Good,H,VS2,62.8,56.0,700,61.284762
1506,1.01,Very Good,G,VS2,62.5,60.0,5519,159.171012
1507,1.52,Ideal,G,SI2,61.3,57.0,8852,245.84460799999997
1508,0.72,Ideal,H,SI1,61.8,54.0,2359,119.26656
1509,0.5,Ideal,I,VS2,61.6,54.0,1220,82.998664
1510,0.4,Premium,F,VVS2,60.7,58.0,1163,64.07275
1511,0.32,Premium,H,VS2,60.7,58.0,648,53.34606
1512,0.35,Ideal,E,VS1,61.2,56.0,829,57.299969999999995
1513,0.38,Premium,I,VS1,59.9,60.0,700,61.806512000000005
1514,1.13,Ideal,E,VS2,61.7,57.0,9796,184.841041
1515,0.36,Ideal,D,VS2,61.6,56.0,852,58.42973500000001
1516,0.76,Ideal,H,VVS1,62.1,56.0,3363,124.22186699999997
1517,1.01,Premium,J,I1,60.7,59.0,2602,159.58258199999997
1518,0.4,Premium,D,SI2,62.4,58.0,666,65.22007800000002
1519,1.13,Premium,H,SI1,62.1,58.0,5410,185.18130000000002
1520,0.91,Ideal,F,SI2,60.3,57.0,3763,150.81591999999998
1521,0.46,Good,F,VS1,64.4,60.0,1113,75.3228
1522,0.56,Ideal,F,SI2,61.4,57.0,1279,92.09173999999999
1523,0.32,Very Good,E,VS1,62.9,57.0,661,52.6361
1524,0.71,Ideal,I,VS1,61.8,56.0,2965,114.36339199999999
1525,1.2,Very Good,H,SI1,61.6,61.0,6350,192.71346599999998
1526,1.31,Premium,I,VS2,60.4,59.0,5832,216.55062
1527,1.55,Premium,F,VS1,61.6,56.0,15801,251.26317000000003
1528,1.01,Good,I,I1,63.1,57.0,2844,163.11752999999996
1529,0.58,Ideal,E,VVS2,61.8,57.0,2694,96.56334000000001
1530,0.56,Very Good,G,VS2,60.9,58.0,1580,93.30902400000001
1531,0.31,Ideal,F,VVS1,61.9,55.0,1028,52.537888
1532,1.02,Ideal,D,SI1,62.2,56.0,6340,166.4084
1533,0.83,Ideal,I,SI2,61.2,59.0,2444,135.20466000000002
1534,0.7,Very Good,H,SI2,63.1,55.0,1995,116.023774
1535,0.3,Ideal,H,VVS1,61.4,56.0,665,49.98672
